ID,Name,OrderDate,Amount
63,Customer_63,2026-02-12,360.37
64,Customer_64,2026-02-28,271.11
65,Customer_65,2026-02-01,633.74
66,Customer_66,2026-01-02,81.42
67,Customer_67,2026-03-07,64.83
68,Customer_68,2026-02-11,457.36
69,Customer_69,2026-02-27,114.67
70,Customer_70,2026-02-05,289.34
71,Customer_71,2026-01-12,260.1
72,Customer_72,2026-02-16,290.53
73,Customer_73,2026-03-24,174.5
74,Customer_74,2026-01-01,61.43
75,Customer_75,2026-01-15,159.71
76,Customer_76,2026-02-23,637.56
77,Customer_77,2026-01-13,975.54
78,Customer_78,2026-02-12,990.83
79,Customer_79,2026-03-26,438.6
80,Customer_80,2026-03-17,204.81
81,Customer_81,2026-03-10,656.82
82,Customer_82,2026-01-07,515.79
83,Customer_83,2026-03-10,989.94
84,Customer_84,2026-02-17,112.04
85,Customer_85,2026-01-04,794.07
86,Customer_86,2026-03-18,323.98
87,Customer_87,2026-02-22,279.35
88,Customer_88,2026-03-20,679.38
89,Customer_89,2026-01-16,283.76
90,Customer_90,2026-01-21,682.57
91,Customer_91,2026-02-28,541.44
92,Customer_92,2026-01-24,452.88
93,Customer_93,2026-03-21,576.95
94,Customer_94,2026-01-14,322.7
95,Customer_95,2026-03-27,721.25
96,Customer_96,2026-02-18,444.11
97,Customer_97,2026-02-19,392.52
98,Customer_98,2026-03-11,837.22
99,Customer_99,2026-02-11,928.72
100,Customer_100,2026-02-05,93.71
101,Customer_101,2026-03-06,271.0
102,Customer_102,2026-03-11,381.09
103,Customer_103,2026-01-01,824.22
104,Customer_104,2026-02-20,986.22
105,Customer_105,2026-02-06,970.52
106,Customer_106,2026-02-04,909.7
107,Customer_107,2026-02-18,331.73
108,Customer_108,2026-01-04,992.41
109,Customer_109,2026-02-12,286.95
110,Customer_110,2026-03-19,150.61
111,Customer_111,2026-01-22,953.4
112,Customer_112,2026-03-15,271.75
113,Customer_113,2026-01-01,705.28
114,Customer_114,2026-01-11,105.44
115,Customer_115,2026-02-13,744.17
116,Customer_116,2026-02-28,887.63
117,Customer_117,2026-01-24,308.82
118,Customer_118,2026-03-01,410.1
119,Customer_119,2026-01-03,405.58
120,Customer_120,2026-03-04,761.35
121,Customer_121,2026-02-05,275.92
122,Customer_122,2026-03-09,213.26
123,Customer_123,2026-03-24,476.83
124,Customer_124,2026-02-16,339.24
125,Customer_125,2026-01-21,847.23
126,Customer_126,2026-03-23,275.85
127,Customer_127,2026-02-20,527.27
128,Customer_128,2026-01-28,945.45
129,Customer_129,2026-01-15,652.3
130,Customer_130,2026-02-11,873.92
131,Customer_131,2026-02-28,943.2
132,Customer_132,2026-03-07,763.23
133,Customer_133,2026-02-06,714.6
134,Customer_134,2026-01-11,969.57
135,Customer_135,2026-03-28,994.68
136,Customer_136,2026-02-13,479.23
137,Customer_137,2026-01-12,117.33
138,Customer_138,2026-01-03,328.15
139,Customer_139,2026-02-21,194.74
140,Customer_140,2026-03-22,446.61
141,Customer_141,2026-02-02,174.72
142,Customer_142,2026-02-24,623.91
143,Customer_143,2026-01-01,413.67
144,Customer_144,2026-02-08,900.62
145,Customer_145,2026-01-20,969.4
146,Customer_146,2026-02-16,569.54
147,Customer_147,2026-02-12,311.08
148,Customer_148,2026-02-26,612.62
149,Customer_149,2026-03-02,901.92
150,Customer_150,2026-03-19,436.4
151,Customer_151,2026-01-31,574.47
152,Customer_152,2026-01-25,308.07
153,Customer_153,2026-01-03,482.67
154,Customer_154,2026-01-04,431.63
155,Customer_155,2026-01-14,285.99
156,Customer_156,2026-02-10,530.57
157,Customer_157,2026-03-14,344.86
158,Customer_158,2026-01-20,404.38
159,Customer_159,2026-03-14,548.72
160,Customer_160,2026-01-27,763.07
161,Customer_161,2026-03-08,366.83
162,Customer_162,2026-02-22,927.95
163,Customer_163,2026-03-09,869.2
164,Customer_164,2026-03-03,96.26
165,Customer_165,2026-01-15,290.96
166,Customer_166,2026-01-05,473.83
167,Customer_167,2026-03-09,149.4
168,Customer_168,2026-01-12,381.05
169,Customer_169,2026-03-28,753.09
170,Customer_170,2026-03-19,696.49
171,Customer_171,2026-03-17,641.27
172,Customer_172,2026-02-26,725.0
173,Customer_173,2026-01-17,244.68
174,Customer_174,2026-01-25,374.61
175,Customer_175,2026-01-30,692.43
176,Customer_176,2026-01-22,885.27
177,Customer_177,2026-01-26,566.49
178,Customer_178,2026-03-22,318.56
179,Customer_179,2026-03-02,78.72
180,Customer_180,2026-03-03,724.82
181,Customer_181,2026-03-25,57.49
182,Customer_182,2026-02-03,404.05
183,Customer_183,2026-02-02,554.01
184,Customer_184,2026-03-12,926.01
185,Customer_185,2026-03-27,135.02
186,Customer_186,2026-02-01,435.65
187,Customer_187,2026-01-14,73.1
188,Customer_188,2026-03-13,375.48
189,Customer_189,2026-02-26,641.12
190,Customer_190,2026-01-25,315.11
191,Customer_191,2026-03-21,249.26
192,Customer_192,2026-02-11,159.92
193,Customer_193,2026-01-19,598.28
194,Customer_194,2026-02-10,710.51
195,Customer_195,2026-02-24,688.36
196,Customer_196,2026-03-21,951.42
197,Customer_197,2026-01-12,52.57
198,Customer_198,2026-02-08,664.84
199,Customer_199,2026-01-02,620.37
200,Customer_200,2026-02-14,609.3
201,Customer_201,2026-03-30,964.63
202,Customer_202,2026-01-25,66.03
203,Customer_203,2026-03-09,711.66
204,Customer_204,2026-03-24,822.99
205,Customer_205,2026-01-04,534.32
206,Customer_206,2026-03-18,367.27
207,Customer_207,2026-02-05,801.3
208,Customer_208,2026-03-28,142.38
209,Customer_209,2026-03-03,469.93
210,Customer_210,2026-03-11,543.95
211,Customer_211,2026-03-29,709.26
212,Customer_212,2026-02-13,136.34
213,Customer_213,2026-02-02,266.37
214,Customer_214,2026-01-12,439.79
215,Customer_215,2026-03-26,642.13
216,Customer_216,2026-01-11,892.61
217,Customer_217,2026-02-24,637.88
218,Customer_218,2026-02-07,176.79
219,Customer_219,2026-01-29,981.55
220,Customer_220,2026-01-03,878.2
221,Customer_221,2026-01-28,527.58
222,Customer_222,2026-03-25,926.23
223,Customer_223,2026-03-31,564.31
224,Customer_224,2026-01-24,927.14
225,Customer_225,2026-02-23,838.4
226,Customer_226,2026-02-21,969.87
227,Customer_227,2026-02-16,923.79
228,Customer_228,2026-01-21,84.23
229,Customer_229,2026-02-23,216.03
230,Customer_230,2026-01-30,419.68
231,Customer_231,2026-03-09,954.54
232,Customer_232,2026-02-05,335.03
233,Customer_233,2026-02-09,202.44
234,Customer_234,2026-01-10,891.99
235,Customer_235,2026-03-15,474.07
236,Customer_236,2026-02-11,912.48
237,Customer_237,2026-01-24,202.22
238,Customer_238,2026-01-04,678.06
239,Customer_239,2026-02-16,468.25
240,Customer_240,2026-02-20,122.66
241,Customer_241,2026-01-04,711.64
242,Customer_242,2026-02-01,285.03
243,Customer_243,2026-01-10,87.63
244,Customer_244,2026-01-11,106.95
245,Customer_245,2026-01-28,108.02
246,Customer_246,2026-02-15,912.35
247,Customer_247,2026-03-13,752.89
248,Customer_248,2026-02-09,903.16
249,Customer_249,2026-03-03,688.95
250,Customer_250,2026-03-27,552.49
251,Customer_251,2026-02-14,339.22
252,Customer_252,2026-02-04,998.06
253,Customer_253,2026-02-04,394.08
254,Customer_254,2026-03-30,497.12
255,Customer_255,2026-02-03,409.33
256,Customer_256,2026-01-06,980.55
257,Customer_257,2026-02-06,215.93
258,Customer_258,2026-01-01,361.59
259,Customer_259,2026-03-17,696.33
260,Customer_260,2026-02-04,110.05
261,Customer_261,2026-03-11,626.89
262,Customer_262,2026-02-23,503.76
263,Customer_263,2026-03-22,319.8
264,Customer_264,2026-03-04,276.49
265,Customer_265,2026-01-09,538.79
266,Customer_266,2026-03-03,399.53
267,Customer_267,2026-01-02,483.69
268,Customer_268,2026-03-23,370.6
269,Customer_269,2026-02-05,971.97
270,Customer_270,2026-02-10,176.77
271,Customer_271,2026-02-06,141.96
272,Customer_272,2026-02-18,376.22
273,Customer_273,2026-01-26,611.48
274,Customer_274,2026-03-09,676.22
275,Customer_275,2026-02-05,427.39
276,Customer_276,2026-01-31,999.31
277,Customer_277,2026-01-30,384.3
278,Customer_278,2026-02-03,735.34
279,Customer_279,2026-01-19,655.7
280,Customer_280,2026-01-18,822.4
281,Customer_281,2026-03-26,977.41
282,Customer_282,2026-01-03,895.3
283,Customer_283,2026-03-11,776.33
284,Customer_284,2026-01-13,713.34
285,Customer_285,2026-02-14,368.72
286,Customer_286,2026-03-08,190.3
287,Customer_287,2026-03-27,109.5
288,Customer_288,2026-02-09,279.81
289,Customer_289,2026-02-09,460.67
290,Customer_290,2026-03-17,545.9
291,Customer_291,2026-01-23,784.43
292,Customer_292,2026-01-31,960.8
293,Customer_293,2026-01-18,161.45
294,Customer_294,2026-03-12,151.65
295,Customer_295,2026-03-13,610.21
296,Customer_296,2026-01-19,758.13
297,Customer_297,2026-02-13,855.74
298,Customer_298,2026-03-25,939.04
299,Customer_299,2026-02-19,984.25
300,Customer_300,2026-02-11,429.81
301,Customer_301,2026-02-16,411.32
302,Customer_302,2026-01-22,190.42
303,Customer_303,2026-03-15,700.69
304,Customer_304,2026-03-31,673.92
305,Customer_305,2026-03-15,868.96
306,Customer_306,2026-01-29,142.4
307,Customer_307,2026-03-23,522.89
308,Customer_308,2026-02-28,602.03
309,Customer_309,2026-01-01,279.48
310,Customer_310,2026-03-28,210.57
311,Customer_311,2026-03-05,866.6
312,Customer_312,2026-01-17,105.61
313,Customer_313,2026-02-06,497.09
314,Customer_314,2026-01-25,160.04
315,Customer_315,2026-03-05,484.21
316,Customer_316,2026-03-09,980.96
317,Customer_317,2026-02-21,452.52
318,Customer_318,2026-01-09,864.27
319,Customer_319,2026-02-26,161.45
320,Customer_320,2026-03-29,307.69
321,Customer_321,2026-02-02,433.6
322,Customer_322,2026-01-20,429.82
323,Customer_323,2026-03-14,687.81
324,Customer_324,2026-03-13,377.48
325,Customer_325,2026-03-29,728.08
326,Customer_326,2026-01-14,657.23
327,Customer_327,2026-02-28,429.2
328,Customer_328,2026-03-23,460.17
329,Customer_329,2026-02-25,633.8
330,Customer_330,2026-03-06,116.54
331,Customer_331,2026-03-17,831.29
332,Customer_332,2026-02-06,670.75
333,Customer_333,2026-01-26,740.03
334,Customer_334,2026-02-02,560.08
335,Customer_335,2026-02-12,154.95
336,Customer_336,2026-01-15,434.78
337,Customer_337,2026-03-28,435.1
338,Customer_338,2026-01-29,354.99
339,Customer_339,2026-01-21,78.45
340,Customer_340,2026-03-24,750.39
341,Customer_341,2026-03-10,154.3
342,Customer_342,2026-01-23,625.99
343,Customer_343,2026-03-25,718.06
344,Customer_344,2026-01-08,653.05
345,Customer_345,2026-03-14,961.19
346,Customer_346,2026-03-03,148.13
347,Customer_347,2026-01-14,873.81
348,Customer_348,2026-01-06,77.73
349,Customer_349,2026-01-01,558.17
350,Customer_350,2026-01-09,434.03
351,Customer_351,2026-03-21,547.97
352,Customer_352,2026-03-21,396.84
353,Customer_353,2026-02-23,231.04
354,Customer_354,2026-01-12,68.17
355,Customer_355,2026-01-05,542.24
356,Customer_356,2026-02-09,850.64
357,Customer_357,2026-02-15,404.56
358,Customer_358,2026-01-27,261.72
359,Customer_359,2026-03-16,126.51
360,Customer_360,2026-02-22,131.05
361,Customer_361,2026-02-19,260.33
362,Customer_362,2026-02-21,145.01
363,Customer_363,2026-01-19,301.79
364,Customer_364,2026-02-04,112.84
365,Customer_365,2026-02-21,112.32
366,Customer_366,2026-01-31,863.46
367,Customer_367,2026-02-23,204.01
368,Customer_368,2026-02-28,581.7
369,Customer_369,2026-02-13,784.78
370,Customer_370,2026-02-25,483.59
371,Customer_371,2026-01-19,195.7
372,Customer_372,2026-02-15,239.62
373,Customer_373,2026-03-29,461.33
374,Customer_374,2026-03-07,551.82
375,Customer_375,2026-03-12,381.97
376,Customer_376,2026-02-23,792.41
377,Customer_377,2026-02-18,763.47
378,Customer_378,2026-03-01,930.85
379,Customer_379,2026-03-22,77.5
380,Customer_380,2026-01-27,900.91
381,Customer_381,2026-02-05,422.94
382,Customer_382,2026-02-28,884.45
383,Customer_383,2026-02-19,706.25
384,Customer_384,2026-03-15,987.98
385,Customer_385,2026-02-14,771.32
386,Customer_386,2026-01-14,396.32
387,Customer_387,2026-03-12,526.01
388,Customer_388,2026-02-08,407.57
389,Customer_389,2026-02-09,396.67
390,Customer_390,2026-01-09,297.86
391,Customer_391,2026-01-14,521.17
392,Customer_392,2026-01-08,697.65
393,Customer_393,2026-03-22,313.47
394,Customer_394,2026-01-23,548.16
395,Customer_395,2026-03-21,161.51
396,Customer_396,2026-03-31,201.85
397,Customer_397,2026-01-09,94.47
398,Customer_398,2026-01-07,972.19
399,Customer_399,2026-03-23,53.67
400,Customer_400,2026-03-13,219.65
401,Customer_401,2026-03-26,632.22
402,Customer_402,2026-03-31,127.3
403,Customer_403,2026-03-08,887.8
404,Customer_404,2026-03-02,733.64
405,Customer_405,2026-01-17,968.07
406,Customer_406,2026-02-26,532.25
407,Customer_407,2026-01-24,335.38
408,Customer_408,2026-01-25,572.03
409,Customer_409,2026-01-05,934.28
410,Customer_410,2026-02-19,544.72
411,Customer_411,2026-03-29,303.85
412,Customer_412,2026-01-31,883.53
413,Customer_413,2026-02-24,403.32
414,Customer_414,2026-01-26,51.31
415,Customer_415,2026-01-21,285.3
416,Customer_416,2026-02-27,352.32
417,Customer_417,2026-01-24,865.84
418,Customer_418,2026-01-28,485.58
419,Customer_419,2026-01-30,472.36
420,Customer_420,2026-02-03,369.3
421,Customer_421,2026-02-23,886.64
422,Customer_422,2026-02-21,947.78
423,Customer_423,2026-03-28,992.3
424,Customer_424,2026-01-08,407.9
425,Customer_425,2026-01-10,967.84
426,Customer_426,2026-02-24,802.29
427,Customer_427,2026-01-01,691.9
428,Customer_428,2026-03-25,282.65
429,Customer_429,2026-02-06,255.63
430,Customer_430,2026-03-23,207.75
431,Customer_431,2026-01-21,926.62
432,Customer_432,2026-01-04,329.37
433,Customer_433,2026-02-12,480.44
434,Customer_434,2026-03-07,519.26
435,Customer_435,2026-01-21,789.26
436,Customer_436,2026-02-06,852.02
437,Customer_437,2026-03-10,182.12
438,Customer_438,2026-03-22,455.56
439,Customer_439,2026-02-17,850.71
440,Customer_440,2026-01-11,827.13
441,Customer_441,2026-02-13,147.29
442,Customer_442,2026-03-05,198.56
443,Customer_443,2026-02-01,338.99
444,Customer_444,2026-01-21,121.59
445,Customer_445,2026-03-12,453.43
446,Customer_446,2026-01-10,152.24
447,Customer_447,2026-03-02,589.81
448,Customer_448,2026-02-05,284.23
449,Customer_449,2026-03-25,616.61
450,Customer_450,2026-03-18,161.65
451,Customer_451,2026-01-19,977.09
452,Customer_452,2026-03-16,935.93
453,Customer_453,2026-02-13,422.21
454,Customer_454,2026-01-04,280.07
455,Customer_455,2026-01-13,287.88
456,Customer_456,2026-02-28,509.22
457,Customer_457,2026-01-02,87.99
458,Customer_458,2026-01-01,657.72
459,Customer_459,2026-02-09,437.89
460,Customer_460,2026-01-25,408.54
461,Customer_461,2026-02-28,818.9
462,Customer_462,2026-02-06,723.58
463,Customer_463,2026-03-11,956.62
464,Customer_464,2026-01-07,384.34
465,Customer_465,2026-01-04,902.67
466,Customer_466,2026-02-10,781.47
467,Customer_467,2026-03-02,389.55
468,Customer_468,2026-02-03,640.58
469,Customer_469,2026-01-29,324.14
470,Customer_470,2026-03-10,880.68
471,Customer_471,2026-01-27,156.81
472,Customer_472,2026-02-21,251.81
473,Customer_473,2026-03-15,223.88
474,Customer_474,2026-02-23,432.87
475,Customer_475,2026-03-11,757.97
476,Customer_476,2026-02-03,550.56
477,Customer_477,2026-01-08,513.29
478,Customer_478,2026-03-14,50.52
479,Customer_479,2026-03-26,454.13
480,Customer_480,2026-01-08,110.38
481,Customer_481,2026-03-09,247.84
482,Customer_482,2026-03-27,935.77
483,Customer_483,2026-03-09,254.63
484,Customer_484,2026-03-26,865.42
485,Customer_485,2026-03-13,812.75
486,Customer_486,2026-03-25,201.19
487,Customer_487,2026-01-01,625.43
488,Customer_488,2026-01-06,159.88
489,Customer_489,2026-01-31,741.49
490,Customer_490,2026-03-15,655.59
491,Customer_491,2026-03-25,821.34
492,Customer_492,2026-01-08,505.42
493,Customer_493,2026-01-22,919.12
494,Customer_494,2026-01-09,96.88
495,Customer_495,2026-02-13,328.24
496,Customer_496,2026-02-16,729.3
497,Customer_497,2026-01-01,447.2
498,Customer_498,2026-02-21,214.3
499,Customer_499,2026-02-08,151.85
500,Customer_500,2026-03-31,826.47
